build,defect_category,test_case,test_approach,test_tool,runtime(seconds),costs($)
1,8,NA,1,terraform fmt,0,NA
1,8,NA,2,terraform validate,3,NA
1,6,NA,3,tfsec,8,NA
1,2,6,4,pytest,6,NA
1,6,13,4,pytest,6,NA
1,3,8,4,pytest,6,NA
1,4,10,4,pytest,6,NA
1,2,5,4,terraform test,1,NA
1,1,1,4,terraform test,6,NA
1,1,2,4,terraform test,3,NA
1,NA,NA,5,terraform apply,986,NA
1,3,9,5,terraform test,3,0.04329
1,1,4,5,terraform test,4,0.04334
1,2,7,5,terraform test,3,0.04329
1,NA,NA,5,terraform destroy,509,NA
1,1,3,5,terraform test,1922,0.19567
1,5,11,5,terratest,1519,0.17395
2,8,NA,1,terraform fmt,0,NA
2,8,NA,2,terraform validate,3,NA
2,6,NA,3,tfsec,8,NA
2,2,6,4,pytest,6,NA
2,6,13,4,pytest,6,NA
2,3,8,4,pytest,6,NA
2,4,10,4,pytest,7,NA
2,2,5,4,terraform test,2,NA
2,1,1,4,terraform test,6,NA
2,1,2,4,terraform test,2,NA
2,NA,NA,5,terraform apply,1015,NA
2,3,9,5,terraform test,4,0.04555
2,1,4,5,terraform test,3,0.0455
2,2,7,5,terraform test,4,0.04555
2,NA,NA,5,terraform destroy,641,NA
2,1,3,5,terraform test,1791,0.18861
2,5,11,5,terratest,1438,0.16959
3,8,NA,1,terraform fmt,0,NA
3,8,NA,2,terraform validate,3,NA
3,6,NA,3,tfsec,8,NA
3,2,6,4,pytest,6,NA
3,6,13,4,pytest,6,NA
3,3,8,4,pytest,6,NA
3,4,10,4,pytest,6,NA
3,2,5,4,terraform test,2,NA
3,1,1,4,terraform test,5,NA
3,1,2,4,terraform test,3,NA
3,NA,NA,5,terraform apply,910,NA
3,3,9,5,terraform test,4,0.0428
3,1,4,5,terraform test,4,0.0428
3,2,7,5,terraform test,3,0.04275
3,NA,NA,5,terraform destroy,542,NA
3,1,3,5,terraform test,1700,0.1837
3,5,11,5,terratest,1556,0.17595
4,8,NA,1,terraform fmt,0,NA
4,8,NA,2,terraform validate,3,NA
4,6,NA,3,tfsec,9,NA
4,2,6,4,pytest,7,NA
4,6,13,4,pytest,6,NA
4,3,8,4,pytest,6,NA
4,4,10,4,pytest,7,NA
4,2,5,4,terraform test,2,NA
4,1,1,4,terraform test,6,NA
4,1,2,4,terraform test,3,NA
4,NA,NA,5,terraform apply,888,NA
4,3,9,5,terraform test,4,0.04269
4,1,4,5,terraform test,3,0.04264
4,2,7,5,terraform test,4,0.04269
4,NA,NA,5,terraform destroy,559,NA
4,1,3,5,terraform test,1650,0.18101
4,5,11,5,terratest,1492,0.1725
5,8,NA,1,terraform fmt,0,NA
5,8,NA,2,terraform validate,2,NA
5,6,NA,3,tfsec,8,NA
5,2,6,4,pytest,7,NA
5,6,13,4,pytest,6,NA
5,3,8,4,pytest,6,NA
5,4,10,4,pytest,7,NA
5,2,5,4,terraform test,2,NA
5,1,1,4,terraform test,6,NA
5,1,2,4,terraform test,3,NA
5,NA,NA,5,terraform apply,953,NA
5,3,9,5,terraform test,4,0.0449
5,1,4,5,terraform test,3,0.04485
5,2,7,5,terraform test,4,0.0449
5,NA,NA,5,terraform destroy,655,NA
5,1,3,5,terraform test,1535,0.17481
5,5,11,5,terratest,1556,0.17595
6,8,NA,1,terraform fmt,0,NA
6,8,NA,2,terraform validate,3,NA
6,6,NA,3,tfsec,8,NA
6,2,6,4,pytest,6,NA
6,6,13,4,pytest,5,NA
6,3,8,4,pytest,6,NA
6,4,10,4,pytest,6,NA
6,2,5,4,terraform test,2,NA
6,1,1,4,terraform test,6,NA
6,1,2,4,terraform test,3,NA
6,NA,NA,5,terraform apply,940,NA
6,3,9,5,terraform test,4,0.04431
6,1,4,5,terraform test,3,0.04426
6,2,7,5,terraform test,4,0.04431
6,NA,NA,5,terraform destroy,624,NA
6,1,3,5,terraform test,1704,0.18392
6,5,11,5,terratest,1517,0.17384
7,8,NA,1,terraform fmt,0,NA
7,8,NA,2,terraform validate,3,NA
7,6,NA,3,tfsec,8,NA
7,2,6,4,pytest,7,NA
7,6,13,4,pytest,6,NA
7,3,8,4,pytest,6,NA
7,4,10,4,pytest,7,NA
7,2,5,4,terraform test,2,NA
7,1,1,4,terraform test,6,NA
7,1,2,4,terraform test,3,NA
7,NA,NA,5,terraform apply,900,NA
7,3,9,5,terraform test,4,0.04415
7,1,4,5,terraform test,4,0.04415
7,2,7,5,terraform test,3,0.04409
7,NA,NA,5,terraform destroy,653,NA
7,1,3,5,terraform test,1662,0.18166
7,5,11,5,terratest,1599,0.17826
8,8,NA,1,terraform fmt,0,NA
8,8,NA,2,terraform validate,3,NA
8,6,NA,3,tfsec,8,NA
8,2,6,4,pytest,7,NA
8,4,10,4,pytest,6,NA
8,6,13,4,pytest,6,NA
8,3,8,4,pytest,6,NA
8,1,2,4,terraform test,3,NA
8,1,1,4,terraform test,6,NA
8,2,5,4,terraform test,2,NA
8,NA,NA,5,terraform apply,941,NA
8,1,4,5,terraform test,4,0.04323
8,3,9,5,terraform test,4,0.04323
8,2,7,5,terraform test,3,0.04318
8,NA,NA,5,terraform destroy,545,NA
8,1,3,5,terraform test,1616,0.17918
8,5,11,5,terratest,1580,0.17724
9,8,NA,1,terraform fmt,0,NA
9,8,NA,2,terraform validate,3,NA
9,6,NA,3,tfsec,7,NA
9,2,6,4,pytest,5,NA
9,4,10,4,pytest,6,NA
9,6,13,4,pytest,6,NA
9,3,8,4,pytest,5,NA
9,1,2,4,terraform test,3,NA
9,1,1,4,terraform test,6,NA
9,2,5,4,terraform test,1,NA
9,NA,NA,5,terraform apply,886,NA
9,1,4,5,terraform test,4,0.04334
9,3,9,5,terraform test,4,0.04334
9,2,7,5,terraform test,3,0.04329
9,NA,NA,5,terraform destroy,606,NA
9,1,3,5,terraform test,1661,0.1816
9,5,11,5,terratest,1600,0.17832
10,8,NA,1,terraform fmt,0,NA
10,8,NA,2,terraform validate,3,NA
10,6,NA,3,tfsec,9,NA
10,2,6,4,pytest,7,NA
10,4,10,4,pytest,6,NA
10,6,13,4,pytest,6,NA
10,3,8,4,pytest,6,NA
10,1,2,4,terraform test,2,NA
10,1,1,4,terraform test,6,NA
10,2,5,4,terraform test,2,NA
10,NA,NA,5,terraform apply,886,NA
10,1,4,5,terraform test,4,0.04382
10,3,9,5,terraform test,4,0.04382
10,2,7,5,terraform test,3,0.04377
10,NA,NA,5,terraform destroy,644,NA
10,1,3,5,terraform test,1669,0.18203
10,5,11,5,terratest,1590,0.17778
